,Loyalty Number,Salary,CLV,Salary_Was_Imputed,Male_Enc,Marital_Enc,Education_Enc,Card_Enc,Promo_Enroll,Tenure_At_Cutoff,Churn,Total_Flights,Total_Distance,Total_Points_Acc,Total_Points_Red,Active_Months,Max_Flights_Month,Total_Months,Avg_Flights_Month,Activity_Rate,Redemption_Ratio,Avg_Distance_Per_Flight,Months_Since_Last_Flight,Flights_Q1,Flights_Q2,Flights_Q3,Flights_Q4
401,613804,73510.0,4620.39,1,0,0,1,0,0,18,0,23,36670,36670.0,466,8,5,12,1.9166666666666667,0.6666666666666666,0.012707935642214344,1594.3478260869565,1.0,9,6,4,4
403,446968,102934.0,4623.62,0,1,0,2,0,0,35,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
405,237105,52589.0,4624.56,0,1,2,2,0,0,1,0,1,1097,1097.0,0,1,1,12,0.08333333333333333,0.08333333333333333,0.0,1097.0,0.0,0,0,0,1
406,395026,73510.0,4624.62,1,1,1,1,0,0,38,0,28,38281,38281.0,1290,9,5,12,2.3333333333333335,0.75,0.03369817925341553,1367.1785714285713,0.0,6,3,10,9
407,702493,73510.0,4624.62,1,1,1,1,0,0,10,1,17,37705,37705.0,0,5,6,12,1.4166666666666667,0.4166666666666667,0.0,2217.9411764705883,2.0,0,5,8,4
408,894466,80692.0,4625.55,0,0,1,2,0,0,46,0,20,26865,26865.0,0,8,4,12,1.6666666666666667,0.6666666666666666,0.0,1343.25,1.0,8,7,2,3
409,610393,90071.0,4626.8,0,1,2,2,0,0,45,0,10,14626,14626.0,0,5,3,12,0.8333333333333334,0.4166666666666667,0.0,1462.6,4.0,6,0,4,0
410,800726,90071.0,4626.8,0,0,2,2,0,0,10,0,18,27459,27459.0,797,6,4,12,1.5,0.5,0.02902509195527878,1525.5,0.0,0,6,4,8
411,111171,73510.0,4628.28,1,0,0,1,0,0,34,0,21,26055,26055.0,0,8,6,12,1.75,0.6666666666666666,0.0,1240.7142857142858,0.0,2,3,11,5
412,842064,73510.0,4630.36,1,1,0,1,0,0,48,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
413,149542,89094.0,4631.01,0,1,1,2,0,0,38,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
414,779434,73510.0,4633.1,1,1,0,1,0,0,30,0,16,24358,24358.0,324,7,5,12,1.3333333333333333,0.5833333333333334,0.013301584694966746,1522.375,0.0,3,6,2,5
415,203184,53204.0,4633.55,0,0,1,2,0,0,40,0,13,17129,17129.0,632,5,6,12,1.0833333333333333,0.4166666666666667,0.03689649133049215,1317.6153846153845,1.0,5,0,6,2
416,225077,123828.0,4636.55,0,0,1,3,0,0,62,0,20,27042,27042.0,0,7,5,12,1.6666666666666667,0.5833333333333334,0.0,1352.1,1.0,4,11,2,3
417,365816,123828.0,4636.55,0,1,1,3,0,0,16,0,21,38069,38069.0,500,8,4,12,1.75,0.6666666666666666,0.013134046074233628,1812.8095238095239,0.0,2,6,4,9
418,781463,123828.0,4636.55,0,0,1,3,0,0,29,0,16,26484,26484.0,503,8,3,12,1.3333333333333333,0.6666666666666666,0.0189925993052409,1655.25,1.0,1,5,4,6
419,644786,102899.0,4637.03,0,1,1,2,0,0,29,0,15,23685,23685.0,363,6,5,12,1.25,0.5,0.01532615579480684,1579.0,0.0,3,1,5,6
420,441440,50797.0,4637.16,0,0,0,2,0,0,10,0,16,22776,22776.0,0,6,5,12,1.3333333333333333,0.5,0.0,1423.5,2.0,0,8,7,1
421,756791,73510.0,4639.04,1,0,0,1,0,0,52,0,20,28081,28081.0,0,6,5,12,1.6666666666666667,0.5,0.0,1404.05,2.0,6,1,9,4
422,676676,73510.0,4642.02,1,0,0,1,0,0,26,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
423,401858,73510.0,4644.7,1,1,2,1,0,0,4,1,5,6108,6108.0,353,3,2,12,0.4166666666666667,0.25,0.05779305828421742,1221.6,0.0,0,0,2,3
424,819569,73510.0,4644.9,1,1,1,1,0,0,32,0,26,33528,33528.0,390,9,6,12,2.1666666666666665,0.75,0.011632068718682892,1289.5384615384614,1.0,3,11,9,3
427,568547,73510.0,4648.54,1,0,1,1,0,0,22,0,17,21850,21850.0,0,6,5,12,1.4166666666666667,0.5,0.0,1285.2941176470588,0.0,2,7,3,5
428,761007,128352.0,4650.06,0,0,0,3,0,0,62,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
429,830931,66731.0,4652.6,0,0,0,2,0,0,58,0,27,52502,52502.0,1309,10,5,12,2.25,0.8333333333333334,0.024932383528246543,1944.5185185185185,0.0,5,4,11,7
431,437269,73510.0,4654.84,1,0,0,1,0,0,21,1,14,21644,21644.0,524,7,4,12,1.1666666666666667,0.5833333333333334,0.024209942709295877,1546.0,0.0,2,5,4,3
432,202761,73510.0,4654.95,1,0,1,1,0,0,59,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
433,723390,54139.0,4655.21,0,0,2,2,0,0,59,1,3,4266,4266.0,0,2,2,12,0.25,0.16666666666666666,0.0,1422.0,9.0,3,0,0,0
434,956005,96476.0,4655.61,0,1,2,2,0,0,12,0,34,47076,47076.0,789,11,5,12,2.8333333333333335,0.9166666666666666,0.016760132551618658,1384.5882352941176,0.0,10,7,8,9
435,683361,53178.0,4656.67,0,1,1,2,0,0,1,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
436,370486,148510.0,4657.16,0,0,0,4,0,0,5,0,12,18997,18997.0,1001,5,3,12,1.0,0.4166666666666667,0.052692530399536766,1583.0833333333333,0.0,0,0,6,6
437,279919,97643.0,4660.4,0,1,1,2,0,0,15,0,20,28262,28262.0,0,6,7,12,1.6666666666666667,0.5,0.0,1413.1,2.0,3,6,10,1
438,635249,73510.0,4665.13,1,1,1,1,0,0,44,0,21,31341,31341.0,543,8,5,12,1.75,0.6666666666666666,0.017325548004211735,1492.4285714285713,0.0,3,3,6,9
439,849415,73510.0,4665.13,1,0,1,1,0,0,39,0,23,26606,26606.0,0,9,5,12,1.9166666666666667,0.75,0.0,1156.7826086956522,0.0,5,2,7,9
440,334003,70874.0,4668.04,0,1,1,2,0,0,54,0,12,16599,16599.0,727,5,4,12,1.0,0.4166666666666667,0.04379781914573167,1383.25,0.0,4,1,0,7
441,256323,87635.0,4669.23,0,1,1,2,0,0,37,0,17,30939,30939.0,593,7,4,12,1.4166666666666667,0.5833333333333334,0.019166747470829696,1819.9411764705883,0.0,3,3,7,4
442,553567,87635.0,4669.23,0,0,1,2,0,0,9,1,12,18481,18481.0,0,5,4,12,1.0,0.4166666666666667,0.0,1540.0833333333333,1.0,0,5,1,6
443,612555,87635.0,4669.23,0,0,1,2,0,0,26,0,21,31768,31768.0,1020,10,4,12,1.75,0.8333333333333334,0.03210778141526064,1512.7619047619048,0.0,2,3,8,8
444,411242,73510.0,4670.05,1,0,1,1,0,0,67,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
445,353128,83071.0,4670.06,0,0,2,2,0,0,63,0,25,37809,37809.0,1004,9,5,12,2.0833333333333335,0.75,0.026554524055119152,1512.36,0.0,5,3,12,5
446,367961,73510.0,4670.95,1,1,2,1,0,0,54,0,14,26655,26655.0,498,7,4,12,1.1666666666666667,0.5833333333333334,0.01868317388857625,1903.9285714285713,0.0,2,3,4,5
447,431899,73510.0,4671.42,1,1,0,1,0,0,42,0,13,19521,19521.0,644,4,4,12,1.0833333333333333,0.3333333333333333,0.03299011321141335,1501.6153846153845,0.0,2,4,0,7
448,835491,70850.0,4673.2,0,1,1,2,0,0,15,0,16,21757,21757.0,471,7,5,12,1.3333333333333333,0.5833333333333334,0.021648205175345867,1359.8125,1.0,2,7,5,2
449,791355,92717.0,4678.42,0,0,1,2,0,0,27,0,27,33547,33547.0,0,9,6,12,2.25,0.75,0.0,1242.4814814814815,0.0,4,10,6,7
450,331258,105218.0,4681.53,0,0,1,4,0,0,32,0,12,15095,15095.0,1168,5,4,12,1.0,0.4166666666666667,0.07737661477310367,1257.9166666666667,0.0,4,4,3,1
451,713329,88748.0,4685.5,0,1,1,2,0,0,9,0,23,26880,26880.0,0,7,5,12,1.9166666666666667,0.5833333333333334,0.0,1168.695652173913,0.0,0,11,5,7
452,422805,74413.0,4686.47,0,1,1,2,0,0,34,0,17,23770,23770.0,2028,6,4,12,1.4166666666666667,0.5,0.08531762726125368,1398.235294117647,0.0,1,3,8,5
453,660376,74413.0,4686.47,0,1,1,2,0,0,65,0,13,16451,16451.0,430,5,4,12,1.0833333333333333,0.4166666666666667,0.02613822867910765,1265.4615384615386,0.0,6,2,0,5
454,841677,74413.0,4686.47,0,1,1,2,0,0,3,0,3,6666,6666.0,0,1,3,12,0.25,0.08333333333333333,0.0,2222.0,1.0,0,0,0,3
455,871329,55795.0,4686.81,0,0,1,2,0,0,54,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
456,626326,92301.0,4692.05,0,0,0,2,0,0,59,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
457,412854,73510.0,4692.1,1,0,0,1,0,0,8,0,17,26735,26735.0,0,5,5,12,1.4166666666666667,0.4166666666666667,0.0,1572.6470588235295,0.0,0,7,5,5
458,333621,73510.0,4692.17,1,0,1,1,0,0,54,0,17,22211,22211.0,856,5,6,12,1.4166666666666667,0.4166666666666667,0.038539462428526405,1306.5294117647059,0.0,2,6,4,5
459,270570,73510.0,4692.66,1,0,0,1,0,0,14,0,15,24793,24793.0,597,6,4,12,1.25,0.5,0.024079377243576817,1652.8666666666666,1.0,5,3,4,3
460,305171,73510.0,4697.15,1,0,0,1,0,0,39,0,20,27267,27267.0,664,7,5,12,1.6666666666666667,0.5833333333333334,0.024351780540580188,1363.35,0.0,8,0,9,3
461,715668,73845.0,4698.35,0,0,1,0,0,0,3,1,2,1396,1396.0,0,1,2,12,0.16666666666666666,0.08333333333333333,0.0,698.0,2.0,0,0,0,2
463,496325,64828.0,4700.01,0,1,1,4,0,0,64,0,27,35899,35899.0,1876,9,6,12,2.25,0.75,0.05225772305635255,1329.5925925925926,0.0,4,14,5,4
465,630320,88028.0,4700.58,0,1,1,2,0,0,26,0,20,29650,29650.0,0,5,6,12,1.6666666666666667,0.4166666666666667,0.0,1482.5,0.0,4,10,3,3
466,304944,73510.0,4703.72,1,0,0,1,0,0,47,0,29,42767,42767.0,540,9,7,12,2.4166666666666665,0.75,0.012626557860032268,1474.7241379310344,0.0,5,2,16,6
467,615662,73510.0,4703.72,1,1,0,1,0,0,28,0,30,39553,39553.0,1209,9,6,12,2.5,0.75,0.03056658154880793,1318.4333333333334,0.0,5,11,7,7
469,540497,73510.0,4705.59,1,0,0,1,0,0,5,0,11,12504,12504.0,966,3,5,12,0.9166666666666666,0.25,0.07725527831094049,1136.7272727272727,0.0,0,0,0,11
470,673061,73510.0,4706.68,1,0,0,1,0,0,15,1,7,7508,7508.0,0,3,4,12,0.5833333333333334,0.25,0.0,1072.5714285714287,7.0,3,4,0,0
471,534794,66905.0,4708.2,0,1,1,2,0,0,67,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
472,336341,73510.0,4709.52,1,0,0,1,0,0,61,0,23,41767,41767.0,490,8,5,12,1.9166666666666667,0.6666666666666666,0.01173174994612972,1815.9565217391305,0.0,5,5,3,10
473,465530,96694.0,4711.08,0,0,1,4,0,0,51,0,4,4130,4130.0,682,3,2,12,0.3333333333333333,0.25,0.16513317191283294,1032.5,7.0,2,2,0,0
474,600598,73510.0,4711.85,1,1,0,1,0,0,24,0,24,36467,36467.0,1976,8,6,12,2.0,0.6666666666666666,0.054185976362190476,1519.4583333333333,2.0,6,8,7,3
475,724720,73510.0,4713.4,1,1,0,1,0,0,38,0,22,27415,27415.0,459,7,5,12,1.8333333333333333,0.5833333333333334,0.01674265912821448,1246.1363636363637,0.0,5,3,6,8
476,627489,73510.0,4715.29,1,1,1,1,0,0,52,0,30,42309,42309.0,1726,10,5,12,2.5,0.8333333333333334,0.040795102696825736,1410.3,0.0,11,9,1,9
477,264064,73510.0,4715.47,1,1,1,1,0,0,5,1,12,12252,12252.0,0,3,4,12,1.0,0.25,0.0,1021.0,0.0,0,0,4,8
478,740762,97502.0,4719.45,0,1,1,2,0,0,25,0,21,34867,34867.0,669,7,6,12,1.75,0.5833333333333334,0.01918719706312559,1660.3333333333333,1.0,3,9,5,4
479,527622,59023.0,4719.76,0,1,1,2,0,0,22,0,17,25459,25459.0,0,6,4,12,1.4166666666666667,0.5,0.0,1497.5882352941176,0.0,3,3,4,7
480,984636,59023.0,4719.76,0,0,1,2,0,0,45,0,16,31697,31697.0,0,7,4,12,1.3333333333333333,0.5833333333333334,0.0,1981.0625,1.0,7,1,4,4
481,110691,73510.0,4722.24,1,1,0,1,0,0,31,0,14,21727,21727.0,503,7,3,12,1.1666666666666667,0.5833333333333334,0.0231509182123625,1551.9285714285713,1.0,5,3,3,3
482,737791,73510.0,4722.24,1,1,0,1,0,0,47,0,16,21199,21199.0,651,8,3,12,1.3333333333333333,0.6666666666666666,0.030708995707344686,1324.9375,0.0,6,6,1,3
483,219413,47673.0,4723.82,0,1,1,2,0,0,8,0,27,37148,37148.0,1086,6,5,12,2.25,0.5,0.02923441369656509,1375.851851851852,0.0,0,9,13,5
485,501363,45384.0,4726.87,0,0,1,0,0,0,7,0,14,21188,21188.0,1231,5,7,12,1.1666666666666667,0.4166666666666667,0.05809892391919955,1513.4285714285713,1.0,0,2,9,3
487,218529,73510.0,4727.35,1,1,0,1,0,0,10,0,3,4711,4711.0,0,3,1,12,0.25,0.25,0.0,1570.3333333333333,0.0,0,1,1,1
488,881157,54361.0,4731.37,0,1,0,2,0,0,24,0,15,25643,25643.0,515,6,4,12,1.25,0.5,0.020083453574074796,1709.5333333333333,1.0,8,3,2,2
489,426185,83007.0,4731.75,0,1,1,2,0,0,25,0,10,15788,15788.0,583,5,2,12,0.8333333333333334,0.4166666666666667,0.03692677983278439,1578.8,0.0,4,4,0,2
490,546758,73510.0,4731.84,1,1,0,1,0,0,57,0,30,49654,49654.0,644,9,6,12,2.5,0.75,0.012969750674668707,1655.1333333333334,0.0,4,10,3,13
491,270723,72435.0,4732.22,0,0,0,2,0,0,39,0,25,28903,28903.0,1042,8,6,12,2.0833333333333335,0.6666666666666666,0.036051620939002875,1156.12,0.0,6,7,4,8
492,504715,73510.0,4734.26,1,1,0,1,0,0,30,0,15,17893,17893.0,667,6,4,12,1.25,0.5,0.03727714748784441,1192.8666666666666,0.0,6,3,4,2
493,380183,73510.0,4735.18,1,1,0,1,0,0,22,0,16,25421,25421.0,0,7,3,12,1.3333333333333333,0.5833333333333334,0.0,1588.8125,2.0,6,3,4,3
494,654817,78722.0,4737.84,0,1,1,2,0,0,12,0,13,21895,21895.0,667,6,3,12,1.0833333333333333,0.5,0.030463576158940398,1684.2307692307693,0.0,1,5,4,3
495,541078,68089.0,4739.35,0,1,1,2,0,0,2,0,8,11592,11592.0,0,2,4,12,0.6666666666666666,0.16666666666666666,0.0,1449.0,0.0,0,0,0,8
496,555112,73510.0,4740.2,1,0,0,1,0,0,49,1,8,11833,11833.0,0,3,4,12,0.6666666666666666,0.25,0.0,1479.125,4.0,4,1,3,0
497,726732,73510.0,4740.2,1,1,0,1,0,0,30,1,22,31252,31252.0,859,7,5,12,1.8333333333333333,0.5833333333333334,0.027486240880583643,1420.5454545454545,1.0,4,6,10,2
499,384269,68896.0,4745.18,0,1,2,2,0,0,28,0,29,34602,34602.0,0,8,5,12,2.4166666666666665,0.6666666666666666,0.0,1193.1724137931035,1.0,0,12,11,6
500,791852,68896.0,4745.18,0,1,2,2,0,0,5,0,8,8847,8847.0,0,4,3,12,0.6666666666666666,0.3333333333333333,0.0,1105.875,1.0,0,0,2,6
501,372183,73510.0,4745.68,1,1,0,1,0,0,51,0,22,35358,35358.0,529,6,6,12,1.8333333333333333,0.5,0.014961253464562476,1607.1818181818182,2.0,6,6,7,3
502,481857,71458.0,4746.76,0,1,1,2,0,0,43,0,26,52364,52364.0,569,9,5,12,2.1666666666666665,0.75,0.010866243984416775,2014.0,1.0,5,7,11,3
503,411523,62761.0,4747.73,0,1,0,2,0,0,14,0,33,45664,45664.0,1645,9,7,12,2.75,0.75,0.036024001401541696,1383.7575757575758,1.0,6,13,11,3
504,765252,73510.0,4749.13,1,0,1,1,0,0,45,0,12,18161,18161.0,393,7,3,12,1.0,0.5833333333333334,0.021639777545289358,1513.4166666666667,0.0,1,5,3,3
505,539358,108218.0,4755.19,0,1,1,3,0,0,40,0,22,29442,29442.0,883,9,5,12,1.8333333333333333,0.75,0.029991169078187625,1338.2727272727273,0.0,5,7,1,9
506,697837,108218.0,4755.19,0,1,1,3,0,0,51,0,21,34252,34252.0,0,7,5,12,1.75,0.5833333333333334,0.0,1631.047619047619,1.0,7,7,4,3
507,464471,73510.0,4755.48,1,0,0,1,0,0,36,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
508,410921,114778.0,4755.72,0,0,1,3,0,0,15,0,28,40119,40119.0,487,11,6,12,2.3333333333333335,0.9166666666666666,0.012138886811735089,1432.8214285714287,0.0,6,11,6,5
509,826304,85182.0,4758.19,0,0,1,2,0,0,62,0,14,20272,20272.0,590,7,3,12,1.1666666666666667,0.5833333333333334,0.02910418310970797,1448.0,0.0,4,1,2,7
510,200077,73510.0,4759.66,1,1,0,1,0,0,3,0,3,6972,6972.0,0,1,3,12,0.25,0.08333333333333333,0.0,2324.0,0.0,0,0,0,3
513,241167,73715.0,4762.59,0,0,2,2,0,0,53,0,16,29453,29453.0,0,6,5,12,1.3333333333333333,0.5,0.0,1840.8125,0.0,1,5,9,1
514,159275,109664.0,4763.33,0,0,0,4,0,0,52,0,28,39427,39427.0,1710,8,6,12,2.3333333333333335,0.6666666666666666,0.04337129378344789,1408.107142857143,0.0,7,9,7,5
515,615439,109664.0,4763.33,0,1,0,4,0,0,58,0,32,51715,51715.0,360,11,6,12,2.6666666666666665,0.9166666666666666,0.006961229817267717,1616.09375,0.0,9,2,13,8
516,458697,73510.0,4764.19,1,0,0,1,0,0,41,0,34,45122,45122.0,1859,11,6,12,2.8333333333333335,0.9166666666666666,0.04119941491955144,1327.1176470588234,0.0,7,12,10,5
517,620465,73510.0,4764.19,1,1,0,1,0,0,65,0,25,46022,46022.0,0,8,5,12,2.0833333333333335,0.6666666666666666,0.0,1840.88,2.0,10,3,10,2
518,654578,89537.0,4764.86,0,0,1,2,0,0,41,0,13,18136,18136.0,454,6,3,12,1.0833333333333333,0.5,0.025033083370092635,1395.076923076923,1.0,6,3,1,3
519,432451,73510.0,4766.37,1,1,0,1,0,0,17,0,21,30730,30730.0,0,6,5,12,1.75,0.5,0.0,1463.3333333333333,2.0,8,1,9,3
520,251116,83445.0,4766.65,0,1,1,2,0,0,41,1,1,1367,1367.0,0,1,1,12,0.08333333333333333,0.08333333333333333,0.0,1367.0,11.0,1,0,0,0
522,440967,79731.0,4766.94,0,0,1,0,0,0,49,0,7,10658,10658.0,963,5,3,12,0.5833333333333334,0.4166666666666667,0.0903546631638206,1522.5714285714287,0.0,1,1,4,1
523,368292,73510.0,4770.26,1,0,1,1,0,0,13,1,2,1182,1182.0,0,1,2,12,0.16666666666666666,0.08333333333333333,0.0,591.0,10.0,2,0,0,0
524,493677,45229.0,4770.55,0,0,0,0,0,0,16,0,28,39085,39085.0,343,9,6,12,2.3333333333333335,0.75,0.00877574517078163,1395.892857142857,0.0,5,5,12,6
525,850418,45229.0,4770.55,0,0,0,0,0,0,26,0,20,37783,37783.0,564,7,6,12,1.6666666666666667,0.5833333333333334,0.014927348278326232,1889.15,0.0,5,1,9,5
526,574560,78644.0,4770.74,0,0,2,0,0,0,42,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
527,406574,105231.0,4772.94,0,0,2,3,0,0,32,0,22,44553,44553.0,0,9,5,12,1.8333333333333333,0.75,0.0,2025.1363636363637,0.0,7,1,10,4
528,532925,52194.0,4773.66,0,1,1,2,0,0,12,1,26,39210,39210.0,643,7,5,12,2.1666666666666665,0.5833333333333334,0.016398877837286406,1508.076923076923,4.0,11,9,6,0
529,119837,73510.0,4774.75,1,1,0,1,0,0,36,0,20,35744,35744.0,556,8,5,12,1.6666666666666667,0.6666666666666666,0.015555058191584602,1787.2,0.0,2,7,9,2
530,546039,100760.0,4775.48,0,1,1,4,0,0,65,0,19,31460,31460.0,0,8,4,12,1.5833333333333333,0.6666666666666666,0.0,1655.7894736842106,0.0,6,3,7,3
531,950914,100760.0,4775.48,0,0,1,4,0,0,3,0,6,5724,5724.0,608,2,4,12,0.5,0.16666666666666666,0.10621942697414395,954.0,1.0,0,0,0,6
532,387129,73510.0,4776.19,1,0,0,1,0,0,54,0,35,53000,53000.0,492,10,6,12,2.9166666666666665,0.8333333333333334,0.009283018867924528,1514.2857142857142,1.0,8,10,14,3
533,876006,71563.0,4779.89,0,1,1,2,0,0,15,0,26,35692,35692.0,876,8,5,12,2.1666666666666665,0.6666666666666666,0.024543315028577834,1372.7692307692307,0.0,4,5,9,8
534,230311,54123.0,4781.82,0,0,1,2,0,0,40,0,21,34563,34563.0,0,7,5,12,1.75,0.5833333333333334,0.0,1645.857142857143,1.0,6,4,8,3
535,955991,91681.0,4782.35,0,1,0,2,0,0,51,0,14,27490,27490.0,538,5,4,12,1.1666666666666667,0.4166666666666667,0.019570753001091307,1963.5714285714287,1.0,3,4,4,3
536,279409,73510.0,4784.42,1,0,0,1,0,0,14,0,24,33897,33897.0,0,7,5,12,2.0,0.5833333333333334,0.0,1412.375,2.0,0,7,13,4
537,293531,73510.0,4784.77,1,1,0,1,0,0,9,0,12,12494,12494.0,0,6,5,12,1.0,0.5,0.0,1041.1666666666667,2.0,0,2,9,1
538,886127,73510.0,4784.77,1,0,0,1,0,0,45,0,18,21879,21879.0,0,5,5,12,1.5,0.4166666666666667,0.0,1215.5,1.0,2,2,10,4
539,536021,50795.0,4784.96,0,0,2,2,0,0,19,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
540,687108,50795.0,4784.96,0,0,2,2,0,0,21,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
541,579005,49031.0,4786.01,0,0,1,2,0,0,14,0,24,31745,31745.0,506,9,5,12,2.0,0.75,0.015939518034336117,1322.7083333333333,0.0,4,8,9,3
542,758372,73510.0,4786.05,1,1,0,1,0,0,11,0,11,15629,15629.0,0,3,6,12,0.9166666666666666,0.25,0.0,1420.8181818181818,6.0,5,6,0,0
543,605505,73510.0,4787.47,1,1,1,1,0,0,21,0,27,33705,33705.0,0,7,6,12,2.25,0.5833333333333334,0.0,1248.3333333333333,0.0,4,3,9,11
544,745336,288934.0,4791.08,0,0,1,4,0,0,32,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
545,413185,175830.0,4792.51,0,0,1,4,0,0,17,0,15,27229,27229.0,449,7,3,12,1.25,0.5833333333333334,0.016489771934334718,1815.2666666666667,0.0,6,3,2,4
546,715462,61579.0,4792.83,0,1,2,0,0,0,54,0,14,29655,29655.0,0,6,4,12,1.1666666666666667,0.5,0.0,2118.214285714286,1.0,2,1,9,2
547,739933,83138.0,4794.12,0,1,1,2,0,0,67,0,20,26222,26222.0,340,7,4,12,1.6666666666666667,0.5833333333333334,0.012966211578064222,1311.1,0.0,7,6,0,7
548,675106,104812.0,4794.48,0,1,2,3,0,0,38,0,22,31383,31383.0,758,8,5,12,1.8333333333333333,0.6666666666666666,0.024153203963929518,1426.5,2.0,5,10,6,1
550,244032,88871.0,4798.24,0,1,1,2,0,0,14,0,21,33692,33692.0,0,6,5,12,1.75,0.5,0.0,1604.3809523809523,0.0,7,3,6,5
552,583648,59210.0,4803.24,0,1,0,2,0,0,60,0,9,12850,12850.0,0,4,4,12,0.75,0.3333333333333333,0.0,1427.7777777777778,4.0,3,5,1,0
553,250380,219564.0,4803.78,0,0,1,4,0,0,2,0,5,9974,9974.0,0,2,3,12,0.4166666666666667,0.16666666666666666,0.0,1994.8,0.0,0,0,0,5
554,935504,73510.0,4803.94,1,1,0,1,0,0,10,0,19,22541,22541.0,1117,8,4,12,1.5833333333333333,0.6666666666666666,0.04955414577880307,1186.3684210526317,1.0,4,5,3,7
555,311943,219184.0,4804.51,0,1,1,4,0,0,27,0,13,22066,22066.0,1105,6,6,12,1.0833333333333333,0.5,0.05007704160246533,1697.3846153846155,4.0,3,7,3,0
556,811684,104990.0,4807.85,0,1,1,2,0,0,5,0,3,6051,6051.0,0,1,3,12,0.25,0.08333333333333333,0.0,2017.0,2.0,0,0,0,3
558,657339,52820.0,4812.53,0,0,1,0,0,0,43,0,25,45819,45819.0,0,8,5,12,2.0833333333333335,0.6666666666666666,0.0,1832.76,0.0,5,6,8,6
559,433812,73510.0,4814.35,1,1,0,1,0,0,67,0,26,35043,35043.0,0,9,5,12,2.1666666666666665,0.75,0.0,1347.8076923076924,0.0,7,5,12,2
560,217284,241906.0,4815.01,0,0,2,4,0,0,31,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
561,559304,73510.0,4815.02,1,0,0,1,0,0,7,0,14,17630,17630.0,537,5,4,12,1.1666666666666667,0.4166666666666667,0.030459444129325015,1259.2857142857142,0.0,0,0,8,6
562,290249,75400.0,4815.85,0,0,0,2,0,0,39,0,33,55096,55096.0,494,10,6,12,2.75,0.8333333333333334,0.008966168142877887,1669.5757575757575,0.0,8,7,9,9
563,948815,78293.0,4821.21,0,1,1,2,0,0,10,0,22,39283,39283.0,1544,9,4,12,1.8333333333333333,0.75,0.03930453376778759,1785.590909090909,0.0,0,10,8,4
564,513229,75040.0,4823.56,0,1,1,2,0,0,64,0,14,23588,23588.0,520,5,5,12,1.1666666666666667,0.4166666666666667,0.02204510768187214,1684.857142857143,2.0,5,2,5,2
565,501278,73510.0,4825.5,1,1,1,1,0,0,66,0,15,17576,17576.0,0,5,5,12,1.25,0.4166666666666667,0.0,1171.7333333333333,0.0,2,3,5,5
566,348299,73510.0,4827.78,1,1,0,1,0,0,52,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
567,500455,57385.0,4829.57,0,1,1,2,0,0,23,0,19,25826,25826.0,0,6,5,12,1.5833333333333333,0.5,0.0,1359.2631578947369,0.0,6,0,5,8
568,277356,73510.0,4830.91,1,0,2,1,0,0,10,1,7,10828,10828.0,0,4,2,12,0.5833333333333334,0.3333333333333333,0.0,1546.857142857143,2.0,1,4,0,2
570,936723,73510.0,4832.12,1,1,0,1,0,0,10,1,22,23577,23577.0,0,6,5,12,1.8333333333333333,0.5,0.0,1071.6818181818182,2.0,5,5,9,3
571,158314,60235.0,4834.71,0,0,2,2,0,0,3,0,4,7287,7287.0,0,2,3,12,0.3333333333333333,0.16666666666666666,0.0,1821.75,1.0,0,0,0,4
572,418090,60235.0,4834.71,0,0,2,2,0,0,23,0,17,16985,16985.0,1088,7,4,12,1.4166666666666667,0.5833333333333334,0.06405652045922873,999.1176470588235,1.0,7,0,7,3
574,685314,55335.0,4834.8,0,1,1,2,0,0,38,0,12,12443,12443.0,0,4,6,12,1.0,0.3333333333333333,0.0,1036.9166666666667,3.0,1,2,9,0
